SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
072130,유엔젤,8713
072710,농심홀딩스,8797
073240,금호타이어,8857
074610,이엔플러스,9035
075180,새론오토모티브,9641
075580,세진중공업,9142
077500,유니퀘스트,9396
077970,STX엔진,9432
078000,텔코웨어,9405
078520,에이블씨엔씨,9602
078930,지에스,9505
078935,지에스1우,9505
079160,씨제이씨지브이,9542
079430,현대리바트,10282
079980,휴비스,7258
081000,일진다이아몬드,9723
081660,휠라홀딩스,10069
082640,동양생명보험,7866
082740,한화엔진 주식회사,9985
083420,그린케미칼,10096
084010,대한제강,4140
084670,동양고속,10220
084680,이월드,10221
084690,대상홀딩스,10222
084695,대상홀딩스1우,10222
084870,티비에이치글로벌,10237
085310,엔케이,10329
085620,미래에셋생명보험,4367
086280,현대글로비스,10421
086790,하나금융지주,10468
088350,한화생명보험,5224
088790,진도,10660
088980,맥쿼리한국인프라투융자회사,10685
089470,HDC현대EP,10756
089590,제주항공,10725
090080,평화산업,10793
090350,노루페인트,10818
090355,노루페인트1우,10818
090370,메타랩스,10822
090430,아모레퍼시픽,10829
090435,아모레퍼시픽1우,10829
090460,비에이치,10832
091090,세원이앤씨,10885
091810,티웨이항공,10960
092200,디아이씨,10998
092220,케이이씨,11640
092230,KPX홀딩스,11639
092440,기신정기,11665
093050,LF,11736
093230,이아이디,11966
093240,형지엘리트,12660
093370,후성,11772
094280,효성ITX,11891
094800,미래에셋맵스아시아퍼시픽부동산공모1호투자회사,11926
105840,우진,13961
107590,미원홀딩스,14600
108320,LX세미콘,3841
108670,LX하우시스,14828
108675,LX하우시스1우,14828
109070,주성코퍼레이션,14832
111770,영원무역,14834
114090,그랜드코리아레저,3861
115390,락앤락,13282
117580,대성에너지,13359
118000,에스메디,13391
119650,케이씨코트렐,14847
120030,조선선재,14887
120110,코오롱인더스트리,14896
120115,코오롱인더스트리1우,14896
122900,아이마켓코리아,15196
123690,한국화장품,15262
123700,에스제이엠,15263
126560,현대퓨처넷,15570
126720,수산인더스트리,15569
128820,대성산업,15778
128940,한미약품,15791
129260,인터지스,4050
130660,한전산업개발,15964
134380,미원화학,16391
134790,시디즈,16439
136490,선진,16617
145210,다이나믹디자인,17566
145270,케이탑자기관리부동산투자회사,17577
145720,덴티움,17628
145990,삼양사,17652
145995,삼양사1우,17652
152550,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권),173985
155660,디에스알,19207
138040,메리츠금융지주,16786
138490,코오롱이앤피,16840
138930,BNK금융지주,16920
139130,DGB금융지주,16941
139480,이마트,16966
140910,에이자기관리부동산투자회사,17101
102460,이연제약,13372
103140,풍산,12983
103590,일진전기,14032
