SHOTN_ISIN,KOR_SECN_NM,ISSUCO_CUSTNO
044870,켄비텍,4922
044920,보고테크,6765
044950,아이티켓,6767
045050,글라소울,6784
095000,엘키토산코리아,11952
095040,제씨콤,11955
095240,케이지에듀원,11972
095290,류엔소프트,11979
095300,엔에스브이,11978
095350,온타운,11982
095420,코리녹스,11987
095509,미래나노텍3우,11994
095540,이얼싼중국문화원,12000
095580,티지에스,12005
095615,테스1우,12399
095665,네오위즈1우,12018
095690,로젠,12025
095705,제넥신1우,12024
095710,미즈사랑,12027
095740,서세원프로덕션,12031
095880,맥쿼리증권,5387
095900,영도교육,12072
095940,선엔지니어링,12111
095960,워터비스,12079
095965,워터비스1우,12079
096050,반포산업,12089
096055,반포산업1우,12089
